Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-77.9716,180,top
C2,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-83.4081,180,top
C3,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-82.2884,180,top
C4,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-120.815,180,top
C5,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-119.744,180,top
C6,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-104.749,180,top
C7,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-118.673,180,top
C8,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-117.602,180,top
C9,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-98.3222,180,top
C10,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-90.8246,180,top
C11,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-95.1089,180,top
C12,C104  0.1uF 100nF,C_0402_1005Metric,321.953,-121.834,180,top
C13,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-91.8957,180,top
C14,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-84.3981,180,top
C15,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-114.388,180,top
C16,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-82.2559,180,top
C17,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-113.317,180,top
C18,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-85.4692,180,top
C19,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-71.5452,180,top
C20,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-91.2457,180,top
C21,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-110.104,180,top
C22,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-75.8292,180,top
C23,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-116.531,180,top
C24,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-76.6901,180,top
C25,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-99.0833,180,top
C26,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-103.678,180,top
C27,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-79.0427,180,top
C28,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-74.4508,180,top
C29,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-62.9762,180,top
C30,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-86.7671,180,top
C31,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-101.535,180,top
C32,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-66.6132,180,top
C33,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-72.6162,180,top
C34,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-97.2511,180,top
C35,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-85.6474,180,top
C36,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-115.46,180,top
C37,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-107.962,180,top
C38,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-75.5705,180,top
C39,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-77.8098,180,top
C40,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-96.844,180,top
C41,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-59.8953,180,top
C42,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-66.1892,180,top
C43,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-65.1182,180,top
C44,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-62.1346,180,top
C45,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-90.1261,180,top
C46,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-88.6824,180,top
C47,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-69.4032,180,top
C48,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-60.8342,180,top
C49,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-78.9295,180,top
C50,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-87.8867,180,top
C51,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-105.82,180,top
C52,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-84.5278,180,top
C53,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-109.033,180,top
C54,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-72.2115,180,top
C55,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-97.9637,180,top
C56,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-112.246,180,top
C57,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-80.0491,180,top
C58,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-63.2542,180,top
C59,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-96.18,180,top
C60,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-94.6047,180,top
C61,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-92.9668,180,top
C62,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-94.0378,180,top
C63,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-64.3739,180,top
C64,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-100.464,180,top
C65,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-93.485,180,top
C66,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-111.175,180,top
C67,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-80.1138,180,top
C68,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-83.327,180,top
C69,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-64.0472,180,top
C70,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-92.3654,180,top
C71,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-87.6113,180,top
C72,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-58.7756,180,top
C73,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-61.0149,180,top
C74,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-99.3933,180,top
C75,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-95.7243,180,top
C76,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-65.4936,180,top
C77,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-73.3312,180,top
C78,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-102.606,180,top
C79,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-74.7582,180,top
C80,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-100.203,180,top
C81,C104  0.1uF 100nF,C_0402_1005Metric,321.946,-59.7632,180,top
C82,C104  0.1uF 100nF,C_0402_1005Metric,319.56,-81.1688,180,top
