Designator,MidX,MidY,Layer,Rot
C1,298.17,-142.994,bottom,0
C2,298.17,-158.472,bottom,0
C3,301.955,-158.115,bottom,0
C4,298.17,-156.924,bottom,0
C5,301.955,-156.527,bottom,0
C7,305.46,-149.225,bottom,0
C8,298.17,-155.377,bottom,0
C9,301.955,-154.939,bottom,0
C10,305.46,-147.684,bottom,0
C11,298.17,-146.09,bottom,0
C13,301.955,-146.999,bottom,0
C14,298.17,-160.02,bottom,0
C15,305.46,-146.143,bottom,0
C16,298.17,-144.542,bottom,0
C17,298.17,-152.281,bottom,0
C19,301.955,-143.823,bottom,0
C20,301.955,-151.763,bottom,0
C21,305.46,-144.602,bottom,0
C22,298.17,-141.446,bottom,0
C23,298.17,-150.733,bottom,0
C24,301.955,-142.235,bottom,0
C25,298.17,-153.829,bottom,0
C26,305.46,-135.355,bottom,0
C27,298.17,-149.185,bottom,0
C28,305.46,-143.061,bottom,0
C29,298.17,-138.35,bottom,0
C30,301.955,-139.059,bottom,0
C31,301.955,-148.587,bottom,0
C32,305.46,-133.814,bottom,0
C33,305.46,-141.52,bottom,0
C34,298.17,-147.637,bottom,0
C35,301.955,-153.351,bottom,0
C36,301.955,-150.175,bottom,0
C37,298.17,-135.255,bottom,0
C38,301.955,-135.883,bottom,0
C39,305.46,-130.732,bottom,0
C40,305.46,-139.978,bottom,0
C41,298.17,-139.898,bottom,0
C42,298.17,-132.159,bottom,0
C43,301.955,-145.411,bottom,0
C44,301.955,-140.647,bottom,0
C45,305.46,-138.437,bottom,0
C46,301.955,-115.238,bottom,0
C47,305.46,-127.65,bottom,0
C48,298.17,-136.803,bottom,0
C49,298.17,-129.063,bottom,0
C50,301.955,-137.471,bottom,0
C51,301.955,-129.53,bottom,0
C52,305.46,-136.896,bottom,0
C53,305.46,-132.273,bottom,0
C54,298.17,-125.968,bottom,0
C55,305.46,-124.568,bottom,0
C56,301.955,-124.766,bottom,0
C57,301.955,-132.706,bottom,0
C58,301.955,-126.354,bottom,0
C59,305.46,-129.191,bottom,0
C60,305.46,-121.485,bottom,0
C61,298.17,-122.872,bottom,0
C62,298.17,-118.229,bottom,0
C63,301.955,-123.178,bottom,0
C64,298.17,-130.611,bottom,0
