Ref,Val,Package,PosX,PosY,Rot,Side
"D85","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",44.958000,-42.289000,0.000000,top
"D86","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",297.434000,-61.327000,0.000000,top
"D87","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",168.681000,-80.416000,0.000000,top
"D88","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",178.562000,-99.441000,0.000000,top
"D89","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",373.888000,-118.680000,0.000000,top
"D90","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",64.008000,-42.291000,0.000000,top
"D91","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",278.384000,-61.327000,0.000000,top
"D92","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",187.706000,-80.402000,0.000000,top
"D93","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",159.487000,-99.441000,0.000000,top
"D94","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",392.913000,-118.680000,0.000000,top
"D95","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",83.058000,-42.289000,0.000000,top
"D96","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",259.334000,-61.302000,0.000000,top
"D97","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",206.731000,-80.416000,0.000000,top
"D98","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",140.462000,-99.441000,0.000000,top
"D99","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",295.148000,-43.002000,0.000000,top
"D100","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",102.108000,-42.315000,0.000000,top
"D101","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",240.284000,-61.327000,0.000000,top
"D102","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",225.831000,-80.366000,0.000000,top
"D103","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",121.412000,-99.441000,0.000000,top
"D104","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",121.158000,-42.291000,0.000000,top
"D105","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",221.234000,-61.276000,0.000000,top
"D106","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",244.856000,-80.391000,0.000000,top
"D107","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",102.362000,-99.416000,0.000000,top
"D108","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",140.208000,-42.266000,0.000000,top
"D109","LED","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",202.209000,-61.251000,0.000000,top
