Designator, Comment, Footprint, JLCPCB Part #
"J1","Conn_01x07_Female","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"SW5","01","daprice-keyswitches:Kailh_socket_MX",""
"TAB1","10","daprice-keyswitches:Stabilizer_MX_1.5u",""
"SW6","11","daprice-keyswitches:Kailh_socket_MX",""
"CAPS1","20","daprice-keyswitches:Stabilizer_MX_1.75u",""
"SW7","21","daprice-keyswitches:Kailh_socket_MX",""
"SW1","30","daprice-keyswitches:Kailh_socket_MX",""
"LEFT-SHIFT1","31","daprice-keyswitches:Stabilizer_MX_2.25u",""
"LEFT_CTRL1","40","daprice-keyswitches:Stabilizer_MX_1.25u",""
"SW2","50","daprice-keyswitches:Kailh_socket_MX",""
"SW8","51","daprice-keyswitches:Kailh_socket_MX",""
"LEFT_FN1","41","daprice-keyswitches:Stabilizer_MX_1.25u",""
"D6","DIODE","CHGRAY-Keyboard:D_SOD-123FL","C64898"
"D8","DIODE","CHGRAY-Keyboard:D_SOD-123FL","C64898"
"D9","DIODE","CHGRAY-Keyboard:D_SOD-123FL","C64898"
"D7","DIODE","CHGRAY-Keyboard:D_SOD-123FL","C64898"
"D10","DIODE","CHGRAY-Keyboard:D_SOD-123FL","C64898"
"D1","DIODE","CHGRAY-Keyboard:D_SOD-123FL","C64898"
"D11","DIODE","CHGRAY-Keyboard:D_SOD-123FL","C64898"
"D2","DIODE","CHGRAY-Keyboard:D_SOD-123FL","C64898"
"D3","DIODE","CHGRAY-Keyboard:D_SOD-123FL","C64898"
"D12","DIODE","CHGRAY-Keyboard:D_SOD-123FL","C64898"
"D13","DIODE","CHGRAY-Keyboard:D_SOD-123FL","C64898"
"D4","DIODE","CHGRAY-Keyboard:D_SOD-123FL","C64898"
"SW14","02","daprice-keyswitches:Kailh_socket_MX",""
"SW16","03","daprice-keyswitches:Kailh_socket_MX",""
"SW15","12","daprice-keyswitches:Kailh_socket_MX",""
"SW17","13","daprice-keyswitches:Kailh_socket_MX",""
"SW10","22","daprice-keyswitches:Kailh_socket_MX",""
